ISIN,Name,Symbol,Industry,Sector
BMG9156K1018,2020 BULKERS,2020,Industrials,Industrial Transportation
DK0060945467,5TH PLANET GAMES,5PG,Consumer Discretionary,Leisure Goods
NO0010672181,AASEN SPAREBANK,AASB,Financials,Banks
NO0003021909,ABG SUNDAL COLLIER,ABG,Financials,Investment Banking and Brokerage Services
NO0010715394,ABL GROUP,ABL,Industrials,Industrial Support Services
CY0108052115,ADS MARITIME HOLD,ADS,Industrials,Industrial Transportation
NO0012958539,AEGA,AEGA,Financials,Investment Banking and Brokerage Services
NO0003078107,AF GRUPPEN,AFG,Industrials,Construction and Materials
NO0010872468,AGILYX,AGLX,Utilities,Waste and Disposal Services
NO0010895568,AIRTHINGS,AIRX,Industrials,Electronic and Electrical Equipment
NO0010215684,AKASTOR,AKAST,Energy,"Oil, Gas and Coal"
NO0010234552,AKER,AKER,Financials,Investment Banking and Brokerage Services
NO0010886625,AKER BIOMARINE,AKBM,Consumer Staples,Food Producers
NO0010345853,AKER BP,AKRBP,Energy,"Oil, Gas and Coal"
NO0010890304,AKER CARBON CAPTUR,ACC,Industrials,Electronic and Electrical Equipment
NO0010921232,AKER HORIZONS,AKH,Utilities,Electricity
NO0010716582,AKER SOLUTIONS,AKSO,Energy,"Oil, Gas and Coal"
SE0015193412,AKOBO MINERALS,AKOBO,Basic Materials,Precious Metals and Mining
NO0003097503,AKVA GROUP,AKVA,Industrials,Industrial Engineering
IE00BLRPRP89,ALTERNUS ENERGY GR,ALT,Utilities,Electricity
NO0010272065,AMSC,AMSC,Industrials,Industrial Transportation
NO0010829765,ANDFJORD SALMON GR,ANDF,Consumer Staples,Food Producers
NO0010307135,AQUA BIO TECHNO,ABTEC,Consumer Staples,"Personal Care, Drug and Grocery Stores"
NO0010778095,AQUILA HOLDINGS,AQUIL,Energy,"Oil, Gas and Coal"
BMG0451H2087,ARCHER,ARCH,Energy,"Oil, Gas and Coal"
NO0010859580,ARCTIC BIOSCIENCE,ABS,Consumer Staples,Food Producers
NO0010917719,ARCTIC FISH HOLDIN,AFISH,Consumer Staples,Food Producers
NO0010014632,ARCTICZYMES TECHNO,AZT,Health Care,Pharmaceuticals and Biotechnology
NO0003572802,ARENDALS FOSSEKOMP,AFK,Financials,Investment Banking and Brokerage Services
NO0013257410,ARGEO,ARGEO,Industrials,Construction and Materials
NO0012861667,ARRIBATEC GROUP,ARR,Consumer Discretionary,Household Goods and Home Construction
NO0004822503,ATEA,ATEA,Technology,Software and Computer Services
NO0013340802,ATLANTIC SAPPHI TR,ASAS,Consumer Staples,Food Producers
NO0013249896,ATLANTIC SAPPHIRE,ASA,Consumer Staples,Food Producers
NO0011032310,AURORA EIENDOM,AURA,Real Estate,Real Estate Investment and Services
NO0006001601,AURSKOG SPAREBANK,AURG,Financials,Banks
NO0010073489,AUSTEVOLL SEAFOOD,AUSS,Consumer Staples,Food Producers
BMG0670A1099,AUTOSTORE HOLDINGS,AUTO,Industrials,Industrial Engineering
BMG067231032,AVANCE GAS HOLDING,AGAS,Industrials,Industrial Transportation
NO0012785098,AWILCO DRILLING,AWDR,Energy,"Oil, Gas and Coal"
NO0010607971,AWILCO LNG,ALNG,Industrials,Industrial Transportation
NO0010840515,AXACTOR,ACR,Financials,Investment Banking and Brokerage Services
NO0012861683,AYFIE INTERNATIONA,AIX,Industrials,Industrial Support Services
NO0010633951,B2 Impact,B2I,Financials,Finance and Credit Services
FO0000000179,BAKKAFROST,BAKKA,Consumer Staples,Food Producers
NO0010810476,BALTIC SEA PROP,BALT,Real Estate,Real Estate Investment and Services
SGXZ33675836,BARRAMUNDI GROUP,BARRA,Consumer Staples,Food Producers
NO0003094104,BELSHIPS,BELCO,Industrials,Industrial Transportation
GB00BGHPT808,BENCHMARK HOLDINGS,BMK,Health Care,Pharmaceuticals and Biotechnology
NO0010950249,BERGEN CARBON SOL,BCS,Basic Materials,Chemicals
NO0013251173,BERGENBIO,BGBIO,Health Care,Pharmaceuticals and Biotechnology
NO0010890965,BEWI,BEWI,Industrials,General Industrials
NO0012706763,BIEN SPAREBANK,BIEN,Financials,Banks
NO0010955198,BIOFISH HOLDING,BFISH,Consumer Staples,Food Producers
NO0010755101,BLACK SEA PROPERTY,BSP,Consumer Discretionary,Household Goods and Home Construction
NO0010379266,BLUENORD,BNOR,Energy,"Oil, Gas and Coal"
NO0003110603,BONHEUR,BONHR,Industrials,General Industrials
NO0013256180,BORGESTAD,BOR,Industrials,Industrial Engineering
BMG1466R1732,BORR DRILLING,BORR,Energy,"Oil, Gas and Coal"
NO0010657505,BORREGAARD,BRG,Basic Materials,Chemicals
NO0010360266,BOUVET,BOUV,Technology,Software and Computer Services
NO0013036814,BRUTON,BRUT,Industrials,Industrial Transportation
BMG0702P1086,BW ENERGY LIMITED,BWE,Energy,"Oil, Gas and Coal"
SGXZ69436764,BW LPG,BWLPG,Industrials,Industrial Transportation
BMG1738J1247,BW OFFSHORE LTD,BWO,Energy,"Oil, Gas and Coal"
NO0003087603,BYGGMA,BMA,Industrials,Construction and Materials
DK0061412772,CADELER,CADLR,Industrials,Construction and Materials
NO0010078850,CAMBI,CAMBI,Industrials,Electronic and Electrical Equipment
NO0010923121,CAPSOL TECHNOLOGI,CAPSL,Industrials,Electronic and Electrical Equipment
NO0013219535,CAVENDISH HYDROGEN,CAVEN,Energy,Alternative Energy
NO0010917594,CIRCA GROUP,CIRCA,Basic Materials,Chemicals
NO0013033795,CIRCIO HOLDING,CRNA,Health Care,Pharmaceuticals and Biotechnology
AU000000CSS3,CLEAN SEAS SEAFOOD,CSS,Consumer Staples,Food Producers
NO0010876642,CLOUDBERRY CLEAN,CLOUD,Utilities,Electricity
NO0010895667,CODELAB CAPITAL,CODE,Health Care,Health Care Providers
SE0014731154,CONTEXTVISION,CONTX,Technology,Software and Computer Services
BMG2415A1137,COOL COMPANY,CLCO,Industrials,Industrial Transportation
NO0010808892,CRAYON GROUP HOLD,CRAYN,Technology,Software and Computer Services
NO0010015175,CYVIZ,CYVIZ,Telecommunications,Telecommunications Equipment
NO0010955917,DEEP VALUE DRILLER,DVD,Energy,"Oil, Gas and Coal"
NO0010963275,DESERT CONTROL,DSRT,Basic Materials,Chemicals
NO0010161896,DNB BANK,DNB,Financials,Banks
NO0003921009,DNO,DNO,Energy,"Oil, Gas and Coal"
NO0012851874,DOF GROUP,DOFG,Industrials,Construction and Materials
NO0012595950,DOLPHIN DRILLING,DDRIL,Energy,"Oil, Gas and Coal"
NO0010607781,EAM SOLAR,EAM,Financials,Investment Banking and Brokerage Services
NO0010998529,EDDA WIND,EWIND,Industrials,Construction and Materials
NO0010263023,EIDESVIK OFFSHORE,EIOF,Energy,"Oil, Gas and Coal"
NO0010358484,ELECTROMAGNET GEO,EMGS,Energy,"Oil, Gas and Coal"
NO0010911902,ELEKTROIMPORTØREN,ELIMP,Consumer Discretionary,Retailers
NO0010816093,ELKEM,ELK,Basic Materials,Chemicals
NO0010722283,ELLIPTIC LABORATOR,ELABS,Technology,Software and Computer Services
NO0010815673,ELMERA GROUP,ELMRA,Utilities,Electricity
NO0011002586,ELOPAK,ELO,Industrials,General Industrials
NO0012555459,ENDÚR,ENDUR,Industrials,General Industrials
NO0012697715,ENERGEIA,ENERG,Energy,Alternative Energy
NO0013186460,ENSURGE MICROPOWER,ENSU,Industrials,Electronic and Electrical Equipment
NO0010716418,ENTRA,ENTRA,Real Estate,Real Estate Investment and Services
NL0015000GX8,ENVIPCO HOLDING,ENVIP,Industrials,Electronic and Electrical Equipment
NO0010096985,EQUINOR,EQNR,Energy,"Oil, Gas and Coal"
NO0010708605,EQVA,EQVA,Industrials,Industrial Transportation
NO0010735343,EUROPRIS,EPR,Consumer Discretionary,Retailers
DK0061414711,EVERFUEL,EFUEL,Energy,Alternative Energy
NO0010852213,EXACT THERAPEUTICS,EXTX,Health Care,Pharmaceuticals and Biotechnology
NO0013209858,FLEKKEFJORD SPAREB,FFSB,Financials,Banks
BMG359472021,FLEX LNG,FLNG,Industrials,Industrial Transportation
CY0200352116,FRONTLINE,FRO,Industrials,Industrial Transportation
NO0010748866,GENTIAN DIAGNOSTIC,GENT,Health Care,Pharmaceuticals and Biotechnology
US36467X2062,GENTOO MEDIA,G2MNO,Consumer Discretionary,Travel and Leisure
NO0011013765,GIGANTE SALMON,GIGA,Consumer Staples,Food Producers
NO0010582521,GJENSIDIGE FORSIKR,GJF,Financials,Non-life Insurance
